prodcode,dmdcode,bnfcode,cprd_name,productname,drugsubstance,strength,formulation,route,snomed_code,dm_d_product_description,bnf_name
50261,3395411000001105,130201000AABWBW,generic dermol 500 lotion,Generic Dermol 500 lotion,Benzalkonium chloride/Chlorhexidine hydrochloride/Liquid paraffin/Isopropyl myristate,1mg/1gram + 1mg/1gram + 25mg/1gram + 25mg/1gram,Liquid,Cutaneous,3395411000001105,Generic Dermol 500 lotion,Generic Dermol 500 lotion
1600,553611000001106,130201000BBICBW,dermol 500 lotion (dermal laboratories ltd),Dermol 500 lotion (Dermal Laboratories Ltd),Benzalkonium chloride/Chlorhexidine hydrochloride/Liquid paraffin/Isopropyl myristate,1mg/1gram + 1mg/1gram + 25mg/1gram + 25mg/1gram,Liquid,Cutaneous,553611000001106,Dermol 500 lotion (Dermal Laboratories Ltd),Dermol 500 lotion
948,424511000001102,1302011M0BBAAAE,emulsiderm emollient (dermal laboratories ltd),Emulsiderm emollient (Dermal Laboratories Ltd),Liquid paraffin/Isopropyl myristate/Benzalkonium chloride,250mg/1gram + 250mg/1gram + 5mg/1gram,Bath additive,Cutaneous,424511000001102,Emulsiderm emollient (Dermal Laboratories Ltd),Emulsiderm emollient
27289,8077811000001106,0802010N0BBABAB,myfortic 360mg gastro-resistant tablets (novartis pharmaceuticals uk ltd),Myfortic 360mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd),Mycophenolate sodium,360mg,Gastro-resistant tablet,Oral,8077811000001106,Myfortic 360mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd),Myfortic 360mg gastro-resistant tablets
53255,18728911000001104,NA,mycophenolate mofetil 250mg capsules (sigma pharmaceuticals plc),Mycophenolate mofetil 250mg capsules (Sigma Pharmaceuticals Plc),Mycophenolate mofetil,250mg,Capsule,Oral,NA,NA,NA
76363,NA,NA,mycophenolate mofetil 100mg/5ml oral suspension,NA,NA,NA,NA,NA,NA,NA,NA
76033,NA,NA,ceptava 180mg gastro-resistant tablets (sandoz ltd),NA,NA,NA,NA,NA,NA,NA,NA
45043,18163911000001104,NA,myfenax 500mg tablets (teva uk ltd),Myfenax 500mg tablets (Teva UK Ltd),Mycophenolate mofetil,500mg,Tablet,Oral,NA,NA,NA
75556,NA,NA,mycophenolate mofetil 250mg capsules (accord healthcare ltd),NA,NA,NA,NA,NA,NA,NA,NA
4438,327104000,0802010M0AAAAAA,mycophenolate mofetil 250mg capsules,Mycophenolate mofetil 250mg capsules,Mycophenolate mofetil,250mg,Capsule,Oral,327104000,Mycophenolate mofetil 250mg capsules,Mycophenolate mofetil 250mg capsules
52488,19867411000001100,NA,cellcept 250mg capsules (lexon (uk) ltd),CellCept 250mg capsules (Lexon (UK) Ltd),Mycophenolate mofetil,250mg,Capsule,Oral,19867411000001100,CellCept 250mg capsules (Lexon (UK) Ltd),NA
57272,13000411000001104,0802010M0AAAIAI,mycophenolate mofetil 125mg/5ml oral suspension,Mycophenolate mofetil 125mg/5ml oral suspension,Mycophenolate mofetil,25mg/1ml,Oral suspension,Oral,13000411000001104,Mycophenolate mofetil 125mg/5ml oral suspension,Mycophenolate mofetil 125mg/5ml oral suspension
47746,19429811000001108,NA,mycophenolate motefil 500mg tablets (wockhardt uk ltd),Mycophenolate motefil 500mg tablets (Wockhardt UK Ltd),Mycophenolate mofetil,500mg,Tablet,Oral,NA,NA,NA
4230,327106003,0802010M0AAABAB,mycophenolate mofetil 500mg tablets,Mycophenolate mofetil 500mg tablets,Mycophenolate mofetil,500mg,Tablet,Oral,327106003,Mycophenolate mofetil 500mg tablets,Mycophenolate mofetil 500mg tablets
74812,16547711000001106,NA,imuran 25mg tablets (stephar (u.k.) ltd),Imuran 25mg tablets (Stephar (U.K.) Ltd),Azathioprine,25mg,Tablet,Oral,16547711000001106,Imuran 25mg tablets (Stephar (U.K.) Ltd),NA
29340,178511000001107,0802010G0AAAEAE,azathioprine 50mg tablets (ivax pharmaceuticals uk ltd),Azathioprine 50mg tablets (IVAX Pharmaceuticals UK Ltd),Azathioprine,50mg,Tablet,Oral,178511000001107,Azathioprine 50mg tablets (IVAX Pharmaceuticals UK Ltd),Azathioprine 50mg tablets
50669,20312211000001100,NA,mycophenolate motefil 500mg tablets (sandoz ltd),Mycophenolate motefil 500mg tablets (Sandoz Ltd),Mycophenolate mofetil,500mg,Tablet,Oral,NA,NA,NA
21899,318611000001108,0802010G0BEAAAE,immunoprin 50mg tablets (ashbourne pharmaceuticals ltd),Immunoprin 50mg tablets (Ashbourne Pharmaceuticals Ltd),Azathioprine,50mg,Tablet,Oral,318611000001108,Immunoprin 50mg tablets (Ashbourne Pharmaceuticals Ltd),Immunoprin 50mg tablets
45489,18164111000001104,NA,myfenax 250mg capsules (teva uk ltd),Myfenax 250mg capsules (Teva UK Ltd),Mycophenolate mofetil,250mg,Capsule,Oral,NA,NA,NA
26097,8077011000001100,0802010N0AAABAB,mycophenolic acid 360mg gastro-resistant tablets,Mycophenolic acid 360mg gastro-resistant tablets,Mycophenolate sodium,360mg,Gastro-resistant tablet,Oral,8077011000001100,Mycophenolic acid 360mg gastro-resistant tablets,Mycophenolic acid 360mg gastro-resistant tablets
16879,4897811000001103,0802010M0AAAJAJ,mycophenolate mofetil 1g/5ml oral suspension sugar free,Mycophenolate mofetil 1g/5ml oral suspension sugar free,Mycophenolate mofetil,200mg/1ml,Oral suspension,Gastroenteral/Oral,4897811000001103,Mycophenolate mofetil 1g/5ml oral suspension sugar free,Mycophenolate mofetil 1g/5ml oral suspension sugar free
53797,13386711000001104,NA,azathioprine 50mg tablets (arrow generics ltd),Azathioprine 50mg tablets (Arrow Generics Ltd),Azathioprine,50mg,Tablet,Oral,NA,NA,NA
35301,8076911000001104,0802010N0AAAAAA,mycophenolic acid 180mg gastro-resistant tablets,Mycophenolic acid 180mg gastro-resistant tablets,Mycophenolate sodium,180mg,Gastro-resistant tablet,Oral,8076911000001104,Mycophenolic acid 180mg gastro-resistant tablets,Mycophenolic acid 180mg gastro-resistant tablets
21732,4881311000001100,0802010M0BBAEAJ,cellcept 1g/5ml oral suspension (roche products ltd),CellCept 1g/5ml oral suspension (Roche Products Ltd),Mycophenolate mofetil,200mg/1ml,Oral suspension,Gastroenteral/Oral,4881311000001100,CellCept 1g/5ml oral suspension (Roche Products Ltd),CellCept 1g/5ml oral suspension
16919,3659911000001102,0802010M0BBAAAA,cellcept 250mg capsules (roche products ltd),CellCept 250mg capsules (Roche Products Ltd),Mycophenolate mofetil,250mg,Capsule,Oral,3659911000001102,CellCept 250mg capsules (Roche Products Ltd),CellCept 250mg capsules
80765,NA,NA,mycophenolate mofetil 500mg tablets (tillomed laboratories ltd),NA,NA,NA,NA,NA,NA,NA,NA
60231,18310411000001104,NA,mycophenolate mofetil 250mg capsules (a a h pharmaceuticals ltd),Mycophenolate mofetil 250mg capsules (A A H Pharmaceuticals Ltd),Mycophenolate mofetil,250mg,Capsule,Oral,NA,NA,NA
54317,20312011000001104,NA,mycophenolate mofetil 250mg capsules (sandoz ltd),Mycophenolate mofetil 250mg capsules (Sandoz Ltd),Mycophenolate mofetil,250mg,Capsule,Oral,NA,NA,NA
74350,34809411000001108,NA,ceptava 360mg gastro-resistant tablets (sandoz ltd),Ceptava 360mg gastro-resistant tablets (Sandoz Ltd),Mycophenolate sodium,360mg,Gastro-resistant tablet,Oral,NA,NA,NA
57593,5347711000001106,NA,cellcept 500mg tablets (waymade healthcare plc),CellCept 500mg tablets (Waymade Healthcare Plc),Mycophenolate mofetil,500mg,Tablet,Oral,5347711000001106,CellCept 500mg tablets (Waymade Healthcare Plc),NA
18804,3661611000001102,0802010M0BBABAB,cellcept 500mg tablets (roche products ltd),CellCept 500mg tablets (Roche Products Ltd),Mycophenolate mofetil,500mg,Tablet,Oral,3661611000001102,CellCept 500mg tablets (Roche Products Ltd),CellCept 500mg tablets
45393,18166711000001104,NA,arzip 500mg tablets (zentiva),Arzip 500mg tablets (Zentiva),Mycophenolate mofetil,500mg,Tablet,Oral,NA,NA,NA
71049,21842611000001100,NA,mycophenolate mofetil 250mg capsules (cubic pharmaceuticals ltd),Mycophenolate mofetil 250mg capsules (Cubic Pharmaceuticals Ltd),Mycophenolate mofetil,250mg,Capsule,Oral,NA,NA,NA
47789,18166911000001100,0802010M0BDAAAA,arzip 250mg capsules (zentiva),Arzip 250mg capsules (Zentiva),Mycophenolate mofetil,250mg,Capsule,Oral,18166911000001100,Arzip 250mg capsules (Zentiva Pharma UK Ltd),Arzip 250mg capsules
27290,8077511000001108,0802010N0BBAAAA,myfortic 180mg gastro-resistant tablets (novartis pharmaceuticals uk ltd),Myfortic 180mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd),Mycophenolate sodium,180mg,Gastro-resistant tablet,Oral,8077511000001108,Myfortic 180mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd),Myfortic 180mg gastro-resistant tablets
58530,18730111000001104,0802010M0AAABAB,mycophenolate mofetil 500mg tablets (sigma pharmaceuticals plc),Mycophenolate mofetil 500mg tablets (Sigma Pharmaceuticals Plc),Mycophenolate mofetil,500mg,Tablet,Oral,18730111000001104,Mycophenolate mofetil 500mg tablets (Sigma Pharmaceuticals Plc),Mycophenolate mofetil 500mg tablets
77860,NA,NA,lansinoh hpa lanolin nipple cream (lansinoh (uk) ltd),NA,NA,NA,NA,NA,NA,NA,NA
68071,NA,NA,medline remedy moisturising barrier cream (medline industries ltd),NA,NA,NA,NA,NA,NA,NA,NA
80241,NA,NA,wool fat cream,NA,NA,NA,NA,NA,NA,NA,NA
48567,NA,NA,aveeno skin relief body lotion (johnson & johnson ltd),NA,NA,NA,NA,NA,NA,NA,NA
77756,NA,NA,lansinoh hpa lanolin cream (lansinoh (uk) ltd),NA,NA,NA,NA,NA,NA,NA,NA
8111,2585001000027108,NA,becloforte vm 250microgram/actuation vm pack (allen & hanburys ltd),Becloforte vm 250microgram/actuation VM pack (Allen & Hanburys Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,NA,NA,NA
66645,29361211000001104,NA,prednisolone 5mg/5ml oral solution unit dose (logixx pharma solutions ltd),Prednisolone 5mg/5ml oral solution unit dose (Logixx Pharma Solutions Ltd),Prednisolone,1mg/1ml,Oral solution,Oral,NA,NA,NA
66015,31386211000001108,NA,prednisolone dompe 5mg/5ml oral solution unit dose (logixx pharma solutions ltd),Prednisolone Dompe 5mg/5ml oral solution unit dose (Logixx Pharma Solutions Ltd),Prednisolone,1mg/1ml,Oral solution,Oral,NA,NA,NA
67559,29559211000001100,0603020T0AABLBL,prednisolone 5mg/5ml oral solution unit dose (a a h pharmaceuticals ltd),Prednisolone 5mg/5ml oral solution unit dose (A A H Pharmaceuticals Ltd),Prednisolone,1mg/1ml,Oral solution,Oral,29559211000001100,Prednisolone 5mg/5ml oral solution unit dose (A A H Pharmaceuticals Ltd),Prednisolone 5mg/5ml oral solution unit dose
55024,13133111000001100,0603020T0AAAZAZ,prednisolone 5mg/5ml oral solution,Prednisolone 5mg/5ml oral solution,Prednisolone,1mg/1ml,Oral solution,Oral,13133111000001100,Prednisolone 5mg/5ml oral solution,Prednisolone 5mg/5ml oral liquid
63791,29424511000001108,NA,prednisolone 5mg/5ml oral solution unit dose,Prednisolone 5mg/5ml oral solution unit dose,Prednisolone,1mg/1ml,Oral solution,Oral,NA,NA,NA
63549,28995411000001104,NA,prednisolone 1mg/ml oral solution (logixx pharma solutions ltd),Prednisolone 1mg/ml oral solution (Logixx Pharma Solutions Ltd),Prednisolone,1mg/1ml,Oral solution,Oral,NA,NA,NA
74156,8452111000001106,0603020G0AABQBQ,dexamethasone 2.5mg/5ml oral solution,Dexamethasone 2.5mg/5ml oral solution,Dexamethasone,500microgram/1ml,Oral solution,Oral,8452111000001106,Dexamethasone 2.5mg/5ml oral solution,Dexamethasone 2.5mg/5ml oral liquid
77085,NA,NA,dexamethasone 16mg/5ml oral solution,NA,NA,NA,NA,NA,NA,NA,NA
78335,NA,NA,dexamethasone 1.5mg/5ml oral suspension,NA,NA,NA,NA,NA,NA,NA,NA
70611,11716211000001108,0603020G0AABWBW,dexamethasone 3mg/5ml oral solution,Dexamethasone 3mg/5ml oral solution,Dexamethasone,600microgram/1ml,Oral solution,Oral,11716211000001108,Dexamethasone 3mg/5ml oral solution,Dexamethasone 3mg/5ml oral liquid
58474,21926211000001104,NA,dexamethasone 2mg/5ml oral solution sugar free (a a h pharmaceuticals ltd),Dexamethasone 2mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,NA,NA,NA
74436,8452311000001108,0603020G0AAA7A7,dexamethasone 500micrograms/5ml oral suspension,Dexamethasone 500micrograms/5ml oral suspension,Dexamethasone,100microgram/1ml,Oral suspension,Oral,8452311000001108,Dexamethasone 500micrograms/5ml oral suspension,Dexamethasone 500micrograms/5ml oral liquid
56347,8452411000001101,0603020G0AAA5A5,dexamethasone 5mg/5ml oral solution,Dexamethasone 5mg/5ml oral solution,Dexamethasone,1mg/1ml,Oral solution,Oral,8452411000001101,Dexamethasone 5mg/5ml oral solution,Dexamethasone 5mg/5ml oral liquid
71926,11714611000001100,NA,dexamethasone 1.25mg/5ml oral suspension,Dexamethasone 1.25mg/5ml oral suspension,Dexamethasone,250microgram/1ml,Oral suspension,Oral,NA,NA,NA
60064,24350911000001104,NA,dexamethasone 10mg/5ml oral solution sugar free,Dexamethasone 10mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,2mg/1ml,Oral solution,Oral,NA,NA,NA
52396,8429111000001103,0603020G0AABJBJ,dexamethasone 1mg/5ml oral solution,Dexamethasone 1mg/5ml oral solution,Dexamethasone,200microgram/1ml,Oral solution,Oral,8429111000001103,Dexamethasone 1mg/5ml oral solution,Dexamethasone 1mg/5ml oral liquid
80396,NA,NA,dexamethasone 20mg/5ml oral suspension,NA,NA,NA,NA,NA,NA,NA,NA
77483,NA,NA,dexamethasone 2mg/5ml oral solution sugar free (waymade healthcare plc),NA,NA,NA,NA,NA,NA,NA,NA
56443,11612111000001108,NA,dexamethasone 10mg/5ml oral solution,Dexamethasone 10mg/5ml oral solution,Dexamethasone,2mg/1ml,Oral solution,Oral,NA,NA,NA
64766,28881311000001104,0603020G0AACDCD,dexamethasone 20mg/5ml oral solution sugar free,Dexamethasone 20mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,4mg/1ml,Oral solution,Oral,28881311000001104,Dexamethasone 20mg/5ml oral solution sugar free,Dexamethasone 20mg/5ml oral solution sugar free
45234,8792611000001104,0603020G0AABPBP,dexamethasone 100microgram capsules,Dexamethasone 100microgram capsules,Dexamethasone,100microgram,Capsule,Oral,8792611000001104,Dexamethasone 100microgram capsules,Dexamethasone 100microgram capsules
21218,3851611000001100,0603020G0BEAABX,dexsol 2mg/5ml oral solution (rosemont pharmaceuticals ltd),Dexsol 2mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,3851611000001100,Dexsol 2mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Dexsol 2mg/5ml oral solution
186,325365005,0603020G0AAA7A7,dexamethasone 500micrograms/5ml oral solution,Dexamethasone 500micrograms/5ml oral solution,Dexamethasone,100microgram/1ml,Oral solution,Oral,325365005,Dexamethasone 500micrograms/5ml oral solution,Dexamethasone 500micrograms/5ml oral liquid
74157,8452211000001100,0603020G0AABQBQ,dexamethasone 2.5mg/5ml oral suspension,Dexamethasone 2.5mg/5ml oral suspension,Dexamethasone,500microgram/1ml,Oral suspension,Oral,8452211000001100,Dexamethasone 2.5mg/5ml oral suspension,Dexamethasone 2.5mg/5ml oral liquid
69572,11716511000001106,0603020G0AAA8A8,dexamethasone 4mg/5ml oral suspension,Dexamethasone 4mg/5ml oral suspension,Dexamethasone,800microgram/1ml,Oral suspension,Oral,11716511000001106,Dexamethasone 4mg/5ml oral suspension,Dexamethasone 4mg/5ml oral liquid
80523,NA,NA,dexamethasone 10mg/5ml oral solution sugar free (advanz pharma),NA,NA,NA,NA,NA,NA,NA,NA
76339,NA,NA,dexamethasone 10mg/5ml oral suspension,NA,NA,NA,NA,NA,NA,NA,NA
64050,19792911000001108,NA,martapan 2mg/5ml oral solution (martindale pharmaceuticals ltd),Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,NA,NA,NA
78214,NA,NA,dexamethasone 3mg/5ml oral suspension,NA,NA,NA,NA,NA,NA,NA,NA
71404,10528411000001108,NA,dexamethasone 2mg/5ml oral solution sugar free (waymade healthcare plc),Dexamethasone 2mg/5ml oral solution sugar free (Waymade Healthcare Plc),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,10528411000001108,Dexamethasone 2mg/5ml oral solution sugar free (Waymade Healthcare Plc),NA
66724,24580511000001100,NA,dexamethasone 10mg capsules,Dexamethasone 10mg capsules,Dexamethasone,10mg,Capsule,Oral,NA,NA,NA
72537,11716411000001108,NA,dexamethasone 4mg/5ml oral solution,Dexamethasone 4mg/5ml oral solution,Dexamethasone,800microgram/1ml,Oral solution,Oral,NA,NA,NA
54793,11716111000001102,0603020G0AAA6A6,dexamethasone 2mg/5ml oral suspension,Dexamethasone 2mg/5ml oral suspension,Dexamethasone,400microgram/1ml,Oral suspension,Oral,11716111000001102,Dexamethasone 2mg/5ml oral suspension,Dexamethasone 2mg/5ml oral liquid
68593,8452511000001102,0603020G0AAA5A5,dexamethasone 5mg/5ml oral suspension,Dexamethasone 5mg/5ml oral suspension,Dexamethasone,1mg/1ml,Oral suspension,Oral,8452511000001102,Dexamethasone 5mg/5ml oral suspension,Dexamethasone 5mg/5ml oral liquid
4943,325366006,NA,dexamethasone 2mg/5ml oral solution sugar free,Dexamethasone 2mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,NA,NA,NA
77849,NA,NA,dexamethasone 1mg/5ml oral suspension,NA,NA,NA,NA,NA,NA,NA,NA
64747,11716011000001104,NA,dexamethasone 2mg/5ml oral solution,Dexamethasone 2mg/5ml oral solution,Dexamethasone,400microgram/1ml,Oral solution,Oral,NA,NA,NA
70893,34796811000001100,0603020G0AACJCJ,dexamethasone 40mg tablets,Dexamethasone 40mg tablets,Dexamethasone,40mg,Tablet,Oral,34796811000001100,Dexamethasone 40mg tablets,Dexamethasone 40mg tablets
73495,NA,NA,tacrolimus oral liquid,NA,NA,NA,NA,NA,NA,NA,NA
47471,19377311000001100,0802020G0BGACAC,capsorin 25mg capsules (morningside healthcare ltd),Capsorin 25mg capsules (Morningside Healthcare Ltd),Ciclosporin,25mg,Capsule,Oral,19377311000001100,Capsorin 25mg capsules (Morningside Healthcare Ltd),Capsorin 25mg capsules
59250,22604011000001104,0802020G0AAADAD,ciclosporin 100mg capsules (colorama pharmaceuticals ltd),Ciclosporin 100mg capsules (Colorama Pharmaceuticals Ltd),Ciclosporin,100mg,Capsule,Oral,22604011000001104,Ciclosporin 100mg capsules (Colorama Pharmaceuticals Ltd),Ciclosporin 100mg capsules
55116,21835711000001104,NA,ciclosporin 25mg capsules (cubic pharmaceuticals ltd),Ciclosporin 25mg capsules (Cubic Pharmaceuticals Ltd),Ciclosporin,25mg,Capsule,Oral,NA,NA,NA
3896,327083007,0802020G0AAADAD,ciclosporin 100mg capsules,Ciclosporin 100mg capsules,Ciclosporin,100mg,Capsule,Oral,327083007,Ciclosporin 100mg capsules,Ciclosporin 100mg capsules
1905,3490411000001109,0802020G0BCAAAG,neoral 100mg/ml oral solution (novartis pharmaceuticals uk ltd),Neoral 100mg/ml oral solution (Novartis Pharmaceuticals UK Ltd),Ciclosporin,100mg/1ml,Oral solution,Oral,3490411000001109,Neoral 100mg/ml oral solution (Novartis Pharmaceuticals UK Ltd),Neoral 100mg/ml oral solution
13556,172611000001109,0802020G0BBAEAD,sandimmun 100mg capsules (novartis pharmaceuticals uk ltd),Sandimmun 100mg capsules (Novartis Pharmaceuticals UK Ltd),Ciclosporin,100mg,Capsule,Oral,172611000001109,Sandimmun 100mg capsules (Novartis Pharmaceuticals UK Ltd),Sandimmun 100mg capsules
1626,36139311000001110,NA,ciclosporin 100mg/ml oral solution sugar free,Ciclosporin 100mg/ml oral solution sugar free,Ciclosporin,100mg/1ml,Oral solution,Oral,NA,NA,NA
62051,23936511000001104,NA,ciclosporin 25mg capsules (niche pharma ltd),Ciclosporin 25mg capsules (Niche Pharma Ltd),Ciclosporin,25mg,Capsule,Oral,NA,NA,NA
42449,16306911000001100,0802020G0BEACAD,deximune 100mg capsules (dexcel-pharma ltd),Deximune 100mg capsules (Dexcel-Pharma Ltd),Ciclosporin,100mg,Capsule,Oral,16306911000001100,Deximune 100mg capsules (Dexcel-Pharma Ltd),Deximune 100mg capsules
54134,21263511000001104,NA,ciclosporin 100mg capsules (sigma pharmaceuticals plc),Ciclosporin 100mg capsules (Sigma Pharmaceuticals Plc),Ciclosporin,100mg,Capsule,Oral,NA,NA,NA
63798,16550911000001108,NA,ciclosporin 100mg capsules (a a h pharmaceuticals ltd),Ciclosporin 100mg capsules (A A H Pharmaceuticals Ltd),Ciclosporin,100mg,Capsule,Oral,NA,NA,NA
13494,3490711000001103,0802020G0BBAAAG,sandimmun 100mg/ml oral solution (novartis pharmaceuticals uk ltd),Sandimmun 100mg/ml oral solution (Novartis Pharmaceuticals UK Ltd),Ciclosporin,100mg/1ml,Oral solution,Oral,3490711000001103,Sandimmun 100mg/ml oral solution (Novartis Pharmaceuticals UK Ltd),Sandimmun 100mg/ml oral solution
59249,22604411000001108,0802020G0AAAFAF,ciclosporin 50mg capsules (colorama pharmaceuticals ltd),Ciclosporin 50mg capsules (Colorama Pharmaceuticals Ltd),Ciclosporin,50mg,Capsule,Oral,22604411000001108,Ciclosporin 50mg capsules (Colorama Pharmaceuticals Ltd),Ciclosporin 50mg capsules
49958,19617911000001104,NA,neoral 25mg capsules (de pharmaceuticals),Neoral 25mg capsules (DE Pharmaceuticals),Ciclosporin,25mg,Capsule,Oral,NA,NA,NA
47102,17665611000001108,NA,capimune 50mg capsules (generics (uk) ltd),Capimune 50mg capsules (Mylan),Ciclosporin,50mg,Capsule,Oral,NA,NA,NA
66473,28335911000001108,0802020G0BHAAAC,vanquoral 25mg capsules (teva uk ltd),Vanquoral 25mg capsules (Teva UK Ltd),Ciclosporin,25mg,Capsule,Oral,28335911000001108,Vanquoral 25mg capsules (Teva UK Ltd),Vanquoral 25mg capsules
42637,16306511000001108,NA,deximune 25mg capsules (dexcel-pharma ltd),Deximune 25mg capsules (Dexcel-Pharma Ltd),Ciclosporin,25mg,Capsule,Oral,NA,NA,NA
64858,28337411000001104,NA,vanquoral 50mg capsules (teva uk ltd),Vanquoral 50mg capsules (Teva UK Ltd),Ciclosporin,50mg,Capsule,Oral,NA,NA,NA
15596,638611000001108,0802020G0BBAFAF,sandimmun 50mg capsules (novartis pharmaceuticals uk ltd),Sandimmun 50mg capsules (Novartis Pharmaceuticals UK Ltd),Ciclosporin,50mg,Capsule,Oral,638611000001108,Sandimmun 50mg capsules (Novartis Pharmaceuticals UK Ltd),Sandimmun 50mg capsules
47192,19376911000001104,NA,capsorin 100mg capsules (morningside healthcare ltd),Capsorin 100mg capsules (Morningside Healthcare Ltd),Ciclosporin,100mg,Capsule,Oral,NA,NA,NA
54974,21835511000001108,NA,ciclosporin 50mg capsules (cubic pharmaceuticals ltd),Ciclosporin 50mg capsules (Cubic Pharmaceuticals Ltd),Ciclosporin,50mg,Capsule,Oral,NA,NA,NA
53175,16561911000001108,NA,neoral 25mg capsules (mawdsley-brooks & company ltd),Neoral 25mg capsules (Mawdsley-Brooks & Company Ltd),Ciclosporin,25mg,Capsule,Oral,NA,NA,NA
47047,19377111000001104,NA,capsorin 50mg capsules (morningside healthcare ltd),Capsorin 50mg capsules (Morningside Healthcare Ltd),Ciclosporin,50mg,Capsule,Oral,NA,NA,NA
64857,28338911000001104,NA,vanquoral 100mg capsules (teva uk ltd),Vanquoral 100mg capsules (Teva UK Ltd),Ciclosporin,100mg,Capsule,Oral,NA,NA,NA
53176,20164511000001104,NA,neoral 50mg capsules (de pharmaceuticals),Neoral 50mg capsules (DE Pharmaceuticals),Ciclosporin,50mg,Capsule,Oral,NA,NA,NA
52743,21263111000001100,NA,ciclosporin 25mg capsules (sigma pharmaceuticals plc),Ciclosporin 25mg capsules (Sigma Pharmaceuticals Plc),Ciclosporin,25mg,Capsule,Oral,NA,NA,NA
54975,21835311000001100,NA,ciclosporin 100mg capsules (cubic pharmaceuticals ltd),Ciclosporin 100mg capsules (Cubic Pharmaceuticals Ltd),Ciclosporin,100mg,Capsule,Oral,NA,NA,NA
