prodcode,ingredient,productname,bnftext,formulation,routeofadministration,bnfchapter,strength,systemic,photo,biologic
26064,methotrexate sodium,methotrexate 20mg/2ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
26387,etanercept,etanercept 50mg powder and solvent for solution for injection vials,unknown,powder and solvent for solution for injection,subcutaneous,00000000,50mg,,,1
26790,ciclosporin,sandimmun 50mg/ml concentrate for solution for infusion (novartis pharmaceuticals uk ltd),products affecting the immune response in chronic bowel problems/corticosteroids and other immunosuppressants,concentrate for solution for infusion,intravenous infusion,01050300/08020200,50mg/ml,1,,
27342,methotrexate sodium,maxtrex 2.5mg/ml injection (pharmacia ltd),products affecting the immune response in chronic bowel problems/antimetabolites,solution for injection,intravenous/intraarterial/intrathecal/intramuscular,01050300/08010300,2.5mg/1ml,1,,
27400,methotrexate sodium,metoject 15mg/1.5ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
27404,methotrexate sodium,methotrexate 15mg/1.5ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
27579,,methotrexate,unknown,,,00000000,,1,,
27642,methotrexate sodium,methotrexate 27.5mg/1.1ml solution for injection pre-filled syringes,antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intrathecal/intraarterial/intravenous,08010300/10010302/13050300,25mg/1ml,1,,
28041,methotrexate,methotrexate 12.5mg/5ml oral suspension,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral suspension,oral,01050300/08010300/10010302/13050300,2.5mg/1ml,1,,
2837,ciclosporin,ciclosporin 50mg capsules,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
2838,ciclosporin,ciclosporin 25mg capsules,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
29069,methotrexate sodium,methotrexate 500mg/vial sterile powder,products affecting the immune response in chronic bowel problems/antimetabolites,sterile powder,,01050300/08010300,500mg/vial,1,,
30703,methotrexate sodium,methotrexate 30mg/1.2ml solution for injection pre-filled syringes,antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intrathecal/intraarterial/intravenous,08010300/10010302/13050300,25mg/1ml,1,,
30780,methotrexate,methotrexate 2.5mg tablet (pharmacia ltd),products affecting the immune response in chronic bowel problems/antimetabolites,tablet,oral,01050300/08010300,2.5mg,1,,
30932,methotrexate sodium,methotrexate 5mg/0.2ml solution for injection pre-filled syringes,antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intrathecal/intraarterial/intravenous,08010300/10010302/13050300,25mg/1ml,1,,
3193,etretinate,etretinate 10mg capsule,preparations for psoriasis,capsule,oral,13050200,10mg,1,,
32111,methotrexate,methotrexate 2.5mg tablets (pfizer ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
32229,methotrexate sodium,methotrexate 500mg/20ml solution for injection vials,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intraarterial/intravenous,01050300/08010300/13050300,25mg/1ml,1,,
32865,methotrexate sodium,methotrexate 10mg/1ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
33330,hydroxycarbamide,hydroxycarbamide 500mg capsules (medac uk),"other antineoplastic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",capsule,oral,08010500/09010300,500mg,1,,
33601,methotrexate sodium,metoject 25mg/2.5ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intramuscular/subcutaneous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
34258,methotrexate sodium,methotrexate 20mg/0.8ml injection (central homecare),products affecting the immune response in chronic bowel problems/antimetabolites,solution for injection,subcutaneous/intramuscular,01050300/08010300,25mg/1ml,1,,
3481,,spectraban 25 (uvb spf 25) lot,unknown,,,00000000,,,1,
34929,methotrexate,methotrexate 10mg tablets (pfizer ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
35126,etanercept,etanercept 50mg injection solution,cytokine modulators in rheumatic disease,injection solution,subcutaneous injection,10010301,50mg,,,1
35402,methotrexate sodium,methotrexate 7.5mg/0.75ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
35419,etanercept,enbrel 25mg/0.5ml solution for injection pre-filled syringes (pfizer ltd),drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010300/13050350,50mg/1ml,,,1
35752,methotrexate,methotrexate 7.5mg/5ml oral suspension,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral suspension,oral,01050300/08010300/10010302/13050300,1.5mg/1ml,1,,
35865,methotrexate sodium,metoject 7.5mg/0.75ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
36008,etanercept,etanercept 25mg/0.5ml solution for injection pre-filled syringes,drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010300/13050350,50mg/1ml,,,1
36167,methotrexate sodium,methotrexate 1g/10ml solution for injection vials,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intraarterial/intravenous/intramuscular,01050300/08010300/13050300,100mg/1ml,1,,
36556,etanercept,enbrel 50mg solution for injection (pfizer consumer healthcare ltd),cytokine modulators in rheumatic disease,solution for injection,subcutaneous injection,10010301,50mg,,,1
36800,methotrexate,methotrexate 10mg/5ml oral solution,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral solution,oral,01050300/08010300/10010302/13050300,2mg/1ml,1,,
36849,methotrexate,methotrexate 10mg/5ml oral suspension,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral suspension,oral,01050300/08010300/10010302/13050300,2mg/1ml,1,,
37117,methotrexate sodium,metoject 10mg/1ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
38056,ciclosporin,ciclosporin 50mg/1ml solution for infusion ampoules,corticosteroids and other immunosuppressants,solution for infusion,intravenous,08020200,50mg/1ml,1,,
38319,hydroxycarbamide,hydroxycarbamide 500mg/5ml oral solution,"other antineoplastic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",oral solution,oral,08010500/09010300,100mg/1ml,1,,
3873,hydroxycarbamide,hydroxyurea capsule,other antineoplastic drugs,capsule,oral,08010500,500mg,1,,
3896,ciclosporin,ciclosporin 100mg capsules,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
3920,ciclosporin,sandimmun 25mg capsules (novartis pharmaceuticals uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
39523,acitretin,neotigason 10mg capsules (teva uk ltd),oral retinoids for psoriasis,capsule,oral,13050201,10mg,1,,
39548,hydroxycarbamide,hydroxycarbamide 1g tablets,"cytotoxic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",tablet,oral,08010000/09010300,1gram,1,,
39793,acitretin,neotigason 25mg capsules (teva uk ltd),oral retinoids for psoriasis,capsule,oral,13050201,25mg,1,,
40273,methotrexate sodium,methotrexate 20mg/0.4ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
40280,methotrexate sodium,metoject 7.5mg/0.15ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
40281,methotrexate sodium,methotrexate 15mg/0.3ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
40284,methotrexate sodium,metoject 15mg/0.3ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
40292,methotrexate sodium,metoject 20mg/0.4ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
40293,methotrexate sodium,metoject 25mg/0.5ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
40301,methotrexate sodium,methotrexate 7.5mg/0.15ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
40328,methotrexate sodium,methotrexate 25mg/0.5ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
40356,methotrexate sodium,metoject 10mg/0.2ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/10010302/13050300,50mg/1ml,1,,
40371,methotrexate sodium,methotrexate 10mg/0.2ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
41058,etanercept,enbrel paediatric 25mg powder and solvent for solution for injection vials (pfizer ltd),drugs that suppress the rheumatic disease process,powder and solvent for solution for injection,subcutaneous,10010300,25mg,,,1
41086,methotrexate sodium,methotrexate 5g/50ml solution for infusion vials,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for infusion,intraarterial/intravenous/intramuscular,01050300/08010300/13050300,100mg/1ml,1,,
41104,methotrexate,methotrexate 2.5mg tablets (wockhardt uk ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
41585,methotrexate,methotrexate sodium 2.5mg tablet (wyeth pharmaceuticals),products affecting the immune response in chronic bowel problems/antimetabolites,tablet,oral,01050300/08010300,2.5mg,1,,
4231,ciclosporin,neoral 50mg capsules (novartis pharmaceuticals uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
42448,ciclosporin,deximune 50mg capsules (dexcel-pharma ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
42449,ciclosporin,deximune 100mg capsules (dexcel-pharma ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
42637,ciclosporin,deximune 25mg capsules (dexcel-pharma ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
42924,ciclosporin,ciclosporin 250mg/5ml solution for infusion ampoules,corticosteroids and other immunosuppressants,solution for infusion,intravenous,08020200,50mg/1ml,1,,
44410,efalizumab,efalizumab 125mg powder and solvent for solution for injection vials,unknown,powder and solvent for solution for injection,subcutaneous,00000000,125mg,,,1
44908,methotrexate,methotrexate 30mg/0.6ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intramuscular/subcutaneous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
45165,methotrexate sodium,methotrexate 20mg/1ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intramuscular/subcutaneous,01050300/08010300/10010302/13050300,20mg/1ml,1,,
45558,methotrexate sodium,methotrexate 25mg/1.25ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intramuscular/subcutaneous,01050300/08010300/10010302/13050300,20mg/1ml,1,,
46039,methotrexate sodium,methotrexate 30mg/1.5ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010300/10010302/13050300,20mg/1ml,1,,
46098,methotrexate sodium,metoject 12.5mg/0.25ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46129,methotrexate sodium,methotrexate 22.5mg/0.45ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intramuscular/subcutaneous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46152,methotrexate sodium,methotrexate 12.5mg/0.25ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46156,methotrexate sodium,methotrexate 17.5mg/0.35ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46197,methotrexate sodium,metoject 22.5mg/0.45ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intramuscular/subcutaneous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46265,methotrexate sodium,metoject 17.5mg/0.35ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46309,ustekinumab,ustekinumab 45mg/0.5ml injection solution,drugs affecting the immune response for eczema and psoriasis,injection solution,subcutaneous injection,13050300,45mg/0.5ml,,,1
46395,ciclosporin,capimune 100mg capsules (mylan),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
46407,methotrexate sodium,methotrexate 1g/40ml solution for injection vials,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intraarterial/intravenous,01050300/08010300/13050300,25mg/1ml,1,,
46637,ciclosporin,capimune 25mg capsules (mylan),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
47042,ciclosporin,ciclosporin 100mg capsule (hillcross pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/corticosteroids and other immunosuppressants,capsule,oral,01050300/08020200,100mg,1,,
47047,ciclosporin,capsorin 50mg capsules (morningside healthcare ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
47102,ciclosporin,capimune 50mg capsules (mylan),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
47127,hydroxycarbamide,hydroxycarbamide 100mg tablets,"cytotoxic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",tablet,oral,08010000/09010300,100mg,1,,
47192,ciclosporin,capsorin 100mg capsules (morningside healthcare ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
47377,ciclosporin,ciclosporin 25mg capsule (hillcross pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/corticosteroids and other immunosuppressants,capsule,oral,01050300/08020200,25mg,1,,
