SNOMEDCode,description
'20070511000001109,Coal tar solution 10% in Betamethasone valerate 0.025% ointment
'20070611000001108,Coal tar solution 10% in Betamethasone valerate 0.025% ointment
'15195511000001105,Coal tar solution 10% in Betamethasone valerate 0.025% ointment (Special Order)
'15195611000001109,Coal tar solution 10% in Betamethasone valerate 0.025% ointment (Special Order)
'20070811000001107,Coal tar solution 10% in Betamethasone valerate 0.025% ointment (Special Order)
'20070711000001104,Coal tar solution 10% in Betamethasone valerate 0.025% ointment (Special Order)
'15222811000001109,Coal tar solution 15% in Betamethasone valerate 0.025% ointment
'15202311000001105,Coal tar solution 15% in Betamethasone valerate 0.025% ointment
'15202511000001104,Coal tar solution 15% in Betamethasone valerate 0.025% ointment (Special Order)
'15202711000001109,Coal tar solution 15% in Betamethasone valerate 0.025% ointment (Special Order)
'15223011000001107,Coal tar solution 3% in Clobetasone 0.05% cream
'15203811000001109,Coal tar solution 3% in Clobetasone 0.05% cream
'22512011000001101,Coal tar solution 3% in Clobetasone 0.05% cream
'15203911000001104,Coal tar solution 3% in Clobetasone 0.05% cream (Special Order)
'15204011000001101,Coal tar solution 3% in Clobetasone 0.05% cream (Special Order)
'22512111000001100,Coal tar solution 3% in Clobetasone 0.05% cream (Special Order)
'15223211000001102,Coal tar solution 5% in Betamethasone valerate 0.025% ointment
'15205011000001102,Coal tar solution 5% in Betamethasone valerate 0.025% ointment
'20929511000001105,Coal tar solution 5% in Betamethasone valerate 0.025% ointment
'20929611000001109,Coal tar solution 5% in Betamethasone valerate 0.025% ointment
'15205111000001101,Coal tar solution 5% in Betamethasone valerate 0.025% ointment (Drug Tariff Special Order)
'15205211000001107,Coal tar solution 5% in Betamethasone valerate 0.025% ointment (Drug Tariff Special Order)
'20929711000001100,Coal tar solution 5% in Betamethasone valerate 0.025% ointment (Drug Tariff Special Order)
'20929811000001108,Coal tar solution 5% in Betamethasone valerate 0.025% ointment (Drug Tariff Special Order)
'15226411000001108,Coal tar solution 5% in Clobetasone 0.05% cream
'15205911000001103,Coal tar solution 5% in Clobetasone 0.05% cream
'15206011000001106,Coal tar solution 5% in Clobetasone 0.05% cream (Special Order)
'15206211000001101,Coal tar solution 5% in Clobetasone 0.05% cream (Special Order)
'15410811000001104,Ichthammol liquid 1% in Clobetasone 0.05% ointment
'15407511000001100,Ichthammol liquid 1% in Clobetasone 0.05% ointment
'15407611000001101,Ichthammol liquid 1% in Clobetasone 0.05% ointment (Special Order)
'15407711000001105,Ichthammol liquid 1% in Clobetasone 0.05% ointment (Special Order)
'15646911000001100,Coal tar solution 5% / Clobetasone 0.05% cream 15% in Aqueous cream
'15644311000001107,Coal tar solution 5% / Clobetasone 0.05% cream 15% in Aqueous cream
'15644411000001100,Coal tar solution 5% / Clobetasone 0.05% cream 15% in Aqueous cream (Special Order)
'15644511000001101,Coal tar solution 5% / Clobetasone 0.05% cream 15% in Aqueous cream (Special Order)
'18525311000001108,Clobetasone 0.05% ointment 50% in White soft paraffin
'18523911000001108,Clobetasone 0.05% ointment 50% in White soft paraffin
'18524111000001107,Clobetasone 0.05% ointment 50% in White soft paraffin (Special Order)
'18524311000001109,Clobetasone 0.05% ointment 50% in White soft paraffin (Special Order)
'18650311000001105,Coal tar solution 5% / Betamethasone valerate 0.025% ointment 5% in White soft paraffin
'18649311000001104,Coal tar solution 5% / Betamethasone valerate 0.025% ointment 5% in White soft paraffin
'18649411000001106,Coal tar solution 5% / Betamethasone valerate 0.025% ointment 5% in White soft paraffin (Special Order)
'18649511000001105,Coal tar solution 5% / Betamethasone valerate 0.025% ointment 5% in White soft paraffin (Special Order)
'20740011000001102,Betamethasone valerate 0.025% ointment 10% in White soft paraffin
'20659711000001103,Betamethasone valerate 0.025% ointment 10% in White soft paraffin
'20659811000001106,Betamethasone valerate 0.025% ointment 10% in White soft paraffin (Special Order)
'20659911000001101,Betamethasone valerate 0.025% ointment 10% in White soft paraffin (Special Order)
'22677211000001108,Coal tar solution 3% in Clobetasone 0.05% ointment
'22677311000001100,Coal tar solution 3% in Clobetasone 0.05% ointment
'22677411000001107,Coal tar solution 3% in Clobetasone 0.05% ointment
'22677511000001106,Coal tar solution 3% in Clobetasone 0.05% ointment (Special Order)
'22677611000001105,Coal tar solution 3% in Clobetasone 0.05% ointment (Special Order)
'22677711000001101,Coal tar solution 3% in Clobetasone 0.05% ointment (Special Order)
'22678211000001107,Coal tar solution 4% in Clobetasone 0.05% ointment
'22678311000001104,Coal tar solution 4% in Clobetasone 0.05% ointment
'22678411000001106,Coal tar solution 4% in Clobetasone 0.05% ointment
'22678511000001105,Coal tar solution 4% in Clobetasone 0.05% ointment (Special Order)
'22678611000001109,Coal tar solution 4% in Clobetasone 0.05% ointment (Special Order)
'22678711000001100,Coal tar solution 4% in Clobetasone 0.05% ointment (Special Order)
'23409311000001106,Coal tar solution 3% in Betamethasone valerate 0.025% ointment
'23409411000001104,Coal tar solution 3% in Betamethasone valerate 0.025% ointment
'23409511000001100,Coal tar solution 3% in Betamethasone valerate 0.025% ointment
'23409611000001101,Coal tar solution 3% in Betamethasone valerate 0.025% ointment
'23409711000001105,Coal tar solution 3% in Betamethasone valerate 0.025% ointment (Special Order)
'23409811000001102,Coal tar solution 3% in Betamethasone valerate 0.025% ointment (Special Order)
'23409911000001107,Coal tar solution 3% in Betamethasone valerate 0.025% ointment (Special Order)
'23410011000001102,Coal tar solution 3% in Betamethasone valerate 0.025% ointment (Special Order)
'23717611000001101,Clobetasone 0.05% ointment 50% in Calamine and Coal tar ointment
'23717711000001105,Clobetasone 0.05% ointment 50% in Calamine and Coal tar ointment
'23717911000001107,Clobetasone 0.05% ointment 50% in Calamine and Coal tar ointment
'23718011000001109,Clobetasone 0.05% ointment 50% in Calamine and Coal tar ointment (Special Order)
'23718211000001104,Clobetasone 0.05% ointment 50% in Calamine and Coal tar ointment (Special Order)
'23718111000001105,Clobetasone 0.05% ointment 50% in Calamine and Coal tar ointment (Special Order)
'24445111000001104,Coal tar solution 10% in Clobetasone 0.05% ointment
'24445211000001105,Coal tar solution 10% in Clobetasone 0.05% ointment
'24445311000001102,Coal tar solution 10% in Clobetasone 0.05% ointment
'24445411000001109,Coal tar solution 10% in Clobetasone 0.05% ointment (Special Order)
'24445511000001108,Coal tar solution 10% in Clobetasone 0.05% ointment (Special Order)
'24445611000001107,Coal tar solution 10% in Clobetasone 0.05% ointment (Special Order)
'24556811000001106,Clioquinol 3% / Coal Tar 3% in Betamethasone valerate 0.025% ointment
'24556911000001101,Clioquinol 3% / Coal Tar 3% in Betamethasone valerate 0.025% ointment
'24557011000001102,Clioquinol 3% / Coal Tar 3% in Betamethasone valerate 0.025% ointment
'24557111000001101,Clioquinol 3% / Coal Tar 3% in Betamethasone valerate 0.025% ointment (Special Order)
'24557311000001104,Clioquinol 3% / Coal Tar 3% in Betamethasone valerate 0.025% ointment (Special Order)
'24557211000001107,Clioquinol 3% / Coal Tar 3% in Betamethasone valerate 0.025% ointment (Special Order)
'29862311000001109,Betamethasone valerate 0.025% ointment 50% in Coal tar paste
'29843211000001100,Betamethasone valerate 0.025% ointment 50% in Coal tar paste
'29843311000001108,Betamethasone valerate 0.025% ointment 50% in Coal tar paste (Special Order)
'29843411000001101,Betamethasone valerate 0.025% ointment 50% in Coal tar paste (Special Order)
'30798311000001106,Betamethasone valerate 0.025% ointment 50% in White soft paraffin
'30791811000001108,Betamethasone valerate 0.025% ointment 50% in White soft paraffin
'30791911000001103,Betamethasone valerate 0.025% ointment 50% in White soft paraffin (Special Order)
'30792011000001105,Betamethasone valerate 0.025% ointment 50% in White soft paraffin (Special Order)
'30798911000001107,Coal tar 5% in Betamethasone valerate 0.025% ointment
'30792111000001106,Coal tar 5% in Betamethasone valerate 0.025% ointment
'30792211000001100,Coal tar 5% in Betamethasone valerate 0.025% ointment (Special Order)
'30792311000001108,Coal tar 5% in Betamethasone valerate 0.025% ointment (Special Order)
'30919511000001100,Clobetasone 0.05% cream 50% in Aqueous cream
'30848511000001109,Clobetasone 0.05% cream 50% in Aqueous cream
'30848611000001108,Clobetasone 0.05% cream 50% in Aqueous cream (Special Order)
'30848711000001104,Clobetasone 0.05% cream 50% in Aqueous cream (Special Order)
'30920011000001109,Coal tar solution 5% in Clobetasone 0.05% ointment
'30849011000001106,Coal tar solution 5% in Clobetasone 0.05% ointment
'30849111000001107,Coal tar solution 5% in Clobetasone 0.05% ointment (Special Order)
'30849211000001101,Coal tar solution 5% in Clobetasone 0.05% ointment (Special Order)
'30919911000001107,Coal tar solution 5% in Betamethasone valerate 0.025% cream
'30881511000001106,Coal tar solution 5% in Betamethasone valerate 0.025% cream
'30881711000001101,Coal tar solution 5% in Betamethasone valerate 0.025% cream (Special Order)
'30881911000001104,Coal tar solution 5% in Betamethasone valerate 0.025% cream (Special Order)
'31140811000001108,Coal tar 10% in Betamethasone valerate 0.025% ointment
'31129411000001103,Coal tar 10% in Betamethasone valerate 0.025% ointment
'31129511000001104,Coal tar 10% in Betamethasone valerate 0.025% ointment (Special Order)
'31129611000001100,Coal tar 10% in Betamethasone valerate 0.025% ointment (Special Order)
'32654211000001102,Coal tar 15% in Betamethasone valerate 0.025% ointment
'32644211000001104,Coal tar 15% in Betamethasone valerate 0.025% ointment
'32644311000001107,Coal tar 15% in Betamethasone valerate 0.025% ointment (Special Order)
'32644411000001100,Coal tar 15% in Betamethasone valerate 0.025% ointment (Special Order)
'32654311000001105,Coal tar solution 10% in Betamethasone valerate 0.025% cream
'32644511000001101,Coal tar solution 10% in Betamethasone valerate 0.025% cream
'32644611000001102,Coal tar solution 10% in Betamethasone valerate 0.025% cream (Special Order)
'32644711000001106,Coal tar solution 10% in Betamethasone valerate 0.025% cream (Special Order)
'32750511000001100,Propylene glycol 40% in Clobetasone 0.05% cream
'32744711000001102,Propylene glycol 40% in Clobetasone 0.05% cream
'32744811000001105,Propylene glycol 40% in Clobetasone 0.05% cream (Special Order)
'32744911000001100,Propylene glycol 40% in Clobetasone 0.05% cream (Special Order)
'32875811000001108,Clobetasone 0.05% cream 50% in White soft paraffin
'32858111000001109,Clobetasone 0.05% cream 50% in White soft paraffin
'32858211000001103,Clobetasone 0.05% cream 50% in White soft paraffin (Special Order)
'32858311000001106,Clobetasone 0.05% cream 50% in White soft paraffin (Special Order)
'32876011000001106,Coal tar solution 2% in Clobetasone 0.05% ointment
'32858811000001102,Coal tar solution 2% in Clobetasone 0.05% ointment
'32858911000001107,Coal tar solution 2% in Clobetasone 0.05% ointment (Special Order)
'32859011000001103,Coal tar solution 2% in Clobetasone 0.05% ointment (Special Order)
'35148511000001107,Coal tar solution 6% in Betamethasone valerate 0.025% cream
'35130511000001108,Coal tar solution 6% in Betamethasone valerate 0.025% cream
'35130611000001107,Coal tar solution 6% in Betamethasone valerate 0.025% cream (Special Order)
'35130711000001103,Coal tar solution 6% in Betamethasone valerate 0.025% cream (Special Order)
