prodcode,productname,ingredient,bnftext,routeofadministration,dmdcode,therapyevents,bnfchapter,emo,top_cs,tcal,oral_cs,aza,metho,cic,myco,potency,injection,new202007
76033,ceptava 180mg gastro-resistant tablets (sandoz ltd),mycophenolate sodium,antiproliferative immunosuppressants,oral,3.48092110000e+16,30,08020100,,,,,,,,1,,,
45043,myfenax 500mg tablets (teva uk ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.81639110000e+16,2337,08020100,,,,,,,,1,,,
75556,mycophenolate mofetil 250mg capsules (accord healthcare ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.84642110000e+16,6,08020100,,,,,,,,1,,,
4438,mycophenolate mofetil 250mg capsules,mycophenolate mofetil,antiproliferative immunosuppressants,oral,327104000,65887,08020100,,,,,,,,1,,,
52488,cellcept 250mg capsules (lexon (uk) ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.98674110000e+16,1,08020100,,,,,,,,1,,,
57272,mycophenolate mofetil 125mg/5ml oral suspension,mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.30004110000e+16,1,08020100,,,,,,,,1,,,
47746,mycophenolate motefil 500mg tablets (wockhardt uk ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.94298110000e+16,336,08020100,,,,,,,,1,,,
4230,mycophenolate mofetil 500mg tablets,mycophenolate mofetil,antiproliferative immunosuppressants,oral,327106003,199962,08020100,,,,,,,,1,,,
74812,imuran 25mg tablets (stephar (u.k.) ltd),azathioprine,antiproliferative immunosuppressants,oral,1.65477110000e+16,46,08020100,,,,,1,,,,,,
29340,azathioprine 50mg tablets (ivax pharmaceuticals uk ltd),azathioprine,antiproliferative immunosuppressants,oral,178511000001107,875,08020100,,,,,1,,,,,,
50669,mycophenolate motefil 500mg tablets (sandoz ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,2.03122110000e+16,675,08020100,,,,,,,,1,,,
21899,immunoprin 50mg tablets (ashbourne pharmaceuticals ltd),azathioprine,antiproliferative immunosuppressants,oral,318611000001108,2102,08020100,,,,,1,,,,,,
45489,myfenax 250mg capsules (teva uk ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.81641110000e+16,378,08020100,,,,,,,,1,,,
26097,mycophenolic acid 360mg gastro-resistant tablets,mycophenolate sodium,antiproliferative immunosuppressants,oral,8077011000001100,5151,08020100,,,,,,,,1,,,
16879,mycophenolate mofetil 1g/5ml oral suspension sugar free,mycophenolate mofetil,antiproliferative immunosuppressants,gastroenteral/oral,4897811000001103,4988,08020100,,,,,,,,1,,,
53797,azathioprine 50mg tablets (arrow generics ltd),azathioprine,antiproliferative immunosuppressants,oral,1.33867110000e+16,7,08020100,,,,,1,,,,,,
35301,mycophenolic acid 180mg gastro-resistant tablets,mycophenolate sodium,antiproliferative immunosuppressants,oral,8076911000001104,1796,08020100,,,,,,,,1,,,
21732,cellcept 1g/5ml oral suspension (roche products ltd),mycophenolate mofetil,antiproliferative immunosuppressants,gastroenteral/oral,4881311000001100,456,08020100,,,,,,,,1,,,
16919,cellcept 250mg capsules (roche products ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,3659911000001102,10857,08020100,,,,,,,,1,,,
80765,mycophenolate mofetil 500mg tablets (tillomed laboratories ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,3.57252110000e+16,0,08020100,,,,,,,,1,,,
60231,mycophenolate mofetil 250mg capsules (a a h pharmaceuticals ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.83104110000e+16,5,08020100,,,,,,,,1,,,
54317,mycophenolate mofetil 250mg capsules (sandoz ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,2.03120110000e+16,0,08020100,,,,,,,,1,,,
74350,ceptava 360mg gastro-resistant tablets (sandoz ltd),mycophenolate sodium,antiproliferative immunosuppressants,oral,3.48094110000e+16,277,08020100,,,,,,,,1,,,
57593,cellcept 500mg tablets (waymade healthcare plc),mycophenolate mofetil,antiproliferative immunosuppressants,oral,5347711000001106,2,08020100,,,,,,,,1,,,
18804,cellcept 500mg tablets (roche products ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,3661611000001102,29813,08020100,,,,,,,,1,,,
45393,arzip 500mg tablets (zentiva),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.81667110000e+16,8,08020100,,,,,,,,1,,,
71049,mycophenolate mofetil 250mg capsules (cubic pharmaceuticals ltd),mycophenolate mofetil,antiproliferative immunosuppressants,oral,2.18426110000e+16,0,08020100,,,,,,,,1,,,
47789,arzip 250mg capsules (zentiva),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.81669110000e+16,4,08020100,,,,,,,,1,,,
27290,myfortic 180mg gastro-resistant tablets (novartis pharmaceuticals uk ltd),mycophenolate sodium,antiproliferative immunosuppressants,oral,8077511000001108,1805,08020100,,,,,,,,1,,,
58530,mycophenolate mofetil 500mg tablets (sigma pharmaceuticals plc),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.87301110000e+16,6,08020100,,,,,,,,1,,,
77860,lansinoh hpa lanolin nipple cream (lansinoh (uk) ltd),,barrier preparations,,3.71157110000e+16,48,13020200,1,,,,,,,,,,
68071,medline remedy moisturising barrier cream (medline industries ltd),,barrier preparations,,3.24606110000e+16,6,13020200,1,,,,,,,,,,
80241,wool fat cream,,barrier preparations,,3.71320110000e+16,2,13020200,1,,,,,,,,,,
48567,aveeno skin relief body lotion (johnson & johnson ltd),,barrier preparations,route of administration not applicable,1.10539110000e+16,7144,13020200,1,,,,,,,,,,
77756,lansinoh hpa lanolin cream (lansinoh (uk) ltd),,barrier preparations,,3.71155110000e+16,28,13020200,1,,,,,,,,,,
8111,becloforte vm 250microgram/actuation vm pack (allen & hanburys ltd),beclometasone dipropionate,corticosteroids (for respiratory conditions),,2585001000027108,9859,03020000,,1,,,,,,,potent,,
66645,prednisolone 5mg/5ml oral solution unit dose (logixx pharma solutions ltd),,corticosteroids (for respiratory conditions)/glucocorticoid therapy/systemic corticosteroids (in musculoskeletal and joint conditions),,2.93612110000e+16,5,03020000/06030200/10010201,,,,1,,,,,,0,
66015,prednisolone dompe 5mg/5ml oral solution unit dose (logixx pharma solutions ltd),,corticosteroids (for respiratory conditions)/glucocorticoid therapy/systemic corticosteroids (in musculoskeletal and joint conditions),,3.13862110000e+16,14,03020000/06030200/10010201,,,,1,,,,,,0,
67559,prednisolone 5mg/5ml oral solution unit dose (a a h pharmaceuticals ltd),,corticosteroids (for respiratory conditions)/glucocorticoid therapy/systemic corticosteroids (in musculoskeletal and joint conditions),,2.95592110000e+16,1,03020000/06030200/10010201,,,,1,,,,,,0,
55024,prednisolone 5mg/5ml oral solution,prednisolone,corticosteroids (for respiratory conditions)/glucocorticoid therapy/systemic corticosteroids (in musculoskeletal and joint conditions),oral,1.31331110000e+16,98,03020000/06030200/10010201,,,,1,,,,,,0,
63791,prednisolone 5mg/5ml oral solution unit dose,,corticosteroids (for respiratory conditions)/glucocorticoid therapy/systemic corticosteroids (in musculoskeletal and joint conditions),,2.94245110000e+16,4617,03020000/06030200/10010201,,,,1,,,,,,0,
63549,prednisolone 1mg/ml oral solution (logixx pharma solutions ltd),prednisolone,corticosteroids (for respiratory conditions)/glucocorticoid therapy/systemic corticosteroids (in musculoskeletal and joint conditions),oral,2.89954110000e+16,7,03020000/06030200/10010201,,,,1,,,,,,0,
74156,dexamethasone 2.5mg/5ml oral solution,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,8452111000001106,3,03020000/04065300/06030200,,,,1,,,,,,0,
77085,dexamethasone 16mg/5ml oral solution,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17154110000e+16,4,03020000/04065300/06030200,,,,1,,,,,,0,
78335,dexamethasone 1.5mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17148110000e+16,1,03020000/04065300/06030200,,,,1,,,,,,0,
70611,dexamethasone 3mg/5ml oral solution,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17162110000e+16,1,03020000/04065300/06030200,,,,1,,,,,,0,
58474,dexamethasone 2mg/5ml oral solution sugar free (a a h pharmaceuticals ltd),dexamethasone sodium phosphate,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,2.19262110000e+16,1,03020000/04065300/06030200,,,,1,,,,,,0,
74436,dexamethasone 500micrograms/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,8452311000001108,1,03020000/04065300/06030200,,,,1,,,,,,0,
56347,dexamethasone 5mg/5ml oral solution,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,8452411000001101,6,03020000/04065300/06030200,,,,1,,,,,,0,
71926,dexamethasone 1.25mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17146110000e+16,2,03020000/04065300/06030200,,,,1,,,,,,0,
60064,dexamethasone 10mg/5ml oral solution sugar free,dexamethasone sodium phosphate,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,2.43509110000e+16,513,03020000/04065300/06030200,,,,1,,,,,,0,
52396,dexamethasone 1mg/5ml oral solution,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,8429111000001103,6,03020000/04065300/06030200,,,,1,,,,,,0,
80396,dexamethasone 20mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17157110000e+16,1,03020000/04065300/06030200,,,,1,,,,,,0,
77483,dexamethasone 2mg/5ml oral solution sugar free (waymade healthcare plc),dexamethasone sodium phosphate,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,2.35909110000e+16,9,03020000/04065300/06030200,,,,1,,,,,,0,
56443,dexamethasone 10mg/5ml oral solution,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.16121110000e+16,2,03020000/04065300/06030200,,,,1,,,,,,0,
64766,dexamethasone 20mg/5ml oral solution sugar free,,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,,2.88813110000e+16,20,03020000/04065300/06030200,,,,1,,,,,,0,
45234,dexamethasone 100microgram capsules,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,8792611000001104,15,03020000/04065300/06030200,,,,1,,,,,,0,
21218,dexsol 2mg/5ml oral solution (rosemont pharmaceuticals ltd),dexamethasone sodium phosphate,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,3851611000001100,447,03020000/04065300/06030200,,,,1,,,,,,0,
186,dexamethasone 500micrograms/5ml oral solution,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,325365005,1303,03020000/04065300/06030200,,,,1,,,,,,0,
74157,dexamethasone 2.5mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,8452211000001100,2,03020000/04065300/06030200,,,,1,,,,,,0,
69572,dexamethasone 4mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17165110000e+16,1,03020000/04065300/06030200,,,,1,,,,,,0,
80523,dexamethasone 10mg/5ml oral solution sugar free (advanz pharma),dexamethasone sodium phosphate,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,2.88768110000e+16,0,03020000/04065300/06030200,,,,1,,,,,,0,
76339,dexamethasone 10mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17149110000e+16,1,03020000/04065300/06030200,,,,1,,,,,,0,
64050,martapan 2mg/5ml oral solution (martindale pharmaceuticals ltd),dexamethasone sodium phosphate,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.97929110000e+16,1,03020000/04065300/06030200,,,,1,,,,,,0,
78214,dexamethasone 3mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17163110000e+16,1,03020000/04065300/06030200,,,,1,,,,,,0,
71404,dexamethasone 2mg/5ml oral solution sugar free (waymade healthcare plc),dexamethasone sodium phosphate,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.05284110000e+16,2,03020000/04065300/06030200,,,,1,,,,,,0,
66724,dexamethasone 10mg capsules,,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,,2.45805110000e+16,1,03020000/04065300/06030200,,,,1,,,,,,0,
72537,dexamethasone 4mg/5ml oral solution,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17164110000e+16,2,03020000/04065300/06030200,,,,1,,,,,,0,
54793,dexamethasone 2mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17161110000e+16,8,03020000/04065300/06030200,,,,1,,,,,,0,
68593,dexamethasone 5mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,8452511000001102,2,03020000/04065300/06030200,,,,1,,,,,,0,
4943,dexamethasone 2mg/5ml oral solution sugar free,,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,,3.70842110000e+16,26480,03020000/04065300/06030200,,,,1,,,,,,0,
77849,dexamethasone 1mg/5ml oral suspension,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,8429011000001104,1,03020000/04065300/06030200,,,,1,,,,,,0,
64747,dexamethasone 2mg/5ml oral solution,dexamethasone,corticosteroids (for respiratory conditions)/products used against nausea and vertigo - cytotoxic chemotherapy/glucocorticoid therapy,oral,1.17160110000e+16,82,03020000/04065300/06030200,,,,1,,,,,,0,
70893,dexamethasone 40mg tablets,,corticosteroids and other immunosuppressants,,3.47968110000e+16,10,08020200,,,,1,,,,,,0,
73495,tacrolimus oral liquid,tacrolimus,corticosteroids and other immunosuppressants,,2.44045001000e+17,6,08020200,,,1,,,,,,,,
47471,capsorin 25mg capsules (morningside healthcare ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.93773110000e+16,411,08020200/10010302/13050300,,,,,,,1,,,,
59250,ciclosporin 100mg capsules (colorama pharmaceuticals ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.26040110000e+16,5,08020200/10010302/13050300,,,,,,,1,,,,
55116,ciclosporin 25mg capsules (cubic pharmaceuticals ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.18357110000e+16,7,08020200/10010302/13050300,,,,,,,1,,,,
3896,ciclosporin 100mg capsules,ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,327083007,72846,08020200/10010302/13050300,,,,,,,1,,,,
1905,neoral 100mg/ml oral solution (novartis pharmaceuticals uk ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,3490411000001109,10509,08020200/10010302/13050300,,,,,,,1,,,,
13556,sandimmun 100mg capsules (novartis pharmaceuticals uk ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,172611000001109,3168,08020200/10010302/13050300,,,,,,,1,,,,
1626,ciclosporin 100mg/ml oral solution sugar free,,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,,3.61393110000e+16,13857,08020200/10010302/13050300,,,,,,,1,,,,
62051,ciclosporin 25mg capsules (niche pharma ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.39365110000e+16,0,08020200/10010302/13050300,,,,,,,1,,,,
42449,deximune 100mg capsules (dexcel-pharma ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.63069110000e+16,494,08020200/10010302/13050300,,,,,,,1,,,,
54134,ciclosporin 100mg capsules (sigma pharmaceuticals plc),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.12635110000e+16,19,08020200/10010302/13050300,,,,,,,1,,,,
63798,ciclosporin 100mg capsules (a a h pharmaceuticals ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.65509110000e+16,0,08020200/10010302/13050300,,,,,,,1,,,,
13494,sandimmun 100mg/ml oral solution (novartis pharmaceuticals uk ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,3490711000001103,1867,08020200/10010302/13050300,,,,,,,1,,,,
59249,ciclosporin 50mg capsules (colorama pharmaceuticals ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.26044110000e+16,8,08020200/10010302/13050300,,,,,,,1,,,,
49958,neoral 25mg capsules (de pharmaceuticals),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.96179110000e+16,3,08020200/10010302/13050300,,,,,,,1,,,,
47102,capimune 50mg capsules (generics (uk) ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.76656110000e+16,540,08020200/10010302/13050300,,,,,,,1,,,,
66473,vanquoral 25mg capsules (teva uk ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.83359110000e+16,58,08020200/10010302/13050300,,,,,,,1,,,,
42637,deximune 25mg capsules (dexcel-pharma ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.63065110000e+16,199,08020200/10010302/13050300,,,,,,,1,,,,
64858,vanquoral 50mg capsules (teva uk ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.83374110000e+16,64,08020200/10010302/13050300,,,,,,,1,,,,
15596,sandimmun 50mg capsules (novartis pharmaceuticals uk ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,638611000001108,1015,08020200/10010302/13050300,,,,,,,1,,,,
47192,capsorin 100mg capsules (morningside healthcare ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.93769110000e+16,609,08020200/10010302/13050300,,,,,,,1,,,,
54974,ciclosporin 50mg capsules (cubic pharmaceuticals ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.18355110000e+16,23,08020200/10010302/13050300,,,,,,,1,,,,
53175,neoral 25mg capsules (mawdsley-brooks & company ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.65619110000e+16,1,08020200/10010302/13050300,,,,,,,1,,,,
47047,capsorin 50mg capsules (morningside healthcare ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.93771110000e+16,634,08020200/10010302/13050300,,,,,,,1,,,,
64857,vanquoral 100mg capsules (teva uk ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.83389110000e+16,81,08020200/10010302/13050300,,,,,,,1,,,,
53176,neoral 50mg capsules (de pharmaceuticals),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.01645110000e+16,2,08020200/10010302/13050300,,,,,,,1,,,,
52743,ciclosporin 25mg capsules (sigma pharmaceuticals plc),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.12631110000e+16,18,08020200/10010302/13050300,,,,,,,1,,,,
54975,ciclosporin 100mg capsules (cubic pharmaceuticals ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.18353110000e+16,14,08020200/10010302/13050300,,,,,,,1,,,,
48763,ciclosporin 25mg capsules (phoenix healthcare distribution ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.78566110000e+16,666,08020200/10010302/13050300,,,,,,,1,,,,
42448,deximune 50mg capsules (dexcel-pharma ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.63067110000e+16,449,08020200/10010302/13050300,,,,,,,1,,,,
2837,ciclosporin 50mg capsules,ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,327085000,51947,08020200/10010302/13050300,,,,,,,1,,,,
2838,ciclosporin 25mg capsules,ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,327082002,53790,08020200/10010302/13050300,,,,,,,1,,,,
52615,neoral 100mg capsules (sigma pharmaceuticals plc),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.43447110000e+16,2,08020200/10010302/13050300,,,,,,,1,,,,
46395,capimune 100mg capsules (generics (uk) ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.76658110000e+16,429,08020200/10010302/13050300,,,,,,,1,,,,
46637,capimune 25mg capsules (generics (uk) ltd),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,1.76669110000e+16,407,08020200/10010302/13050300,,,,,,,1,,,,
54867,ciclosporin 50mg capsules (sigma pharmaceuticals plc),ciclosporin,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral,2.12633110000e+16,28,08020200/10010302/13050300,,,,,,,1,,,,
