prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
18660,355311000001102,15188,54091020,Deltastab 25mg/1ml suspension for injection ampoules (AMCo),Prednisolone acetate,25mg/1ml,Suspension for injection,Intraarticular/Intramuscular/Periarticular,08020200/10010201/10010202,Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Local Corticosteroid Injections,February 2009
24224,77745001000027104,7,57954020,Codelsol 16mg/ml Injection (MSD Thomas Morson Pharmaceuticals),Prednisolone Sodium Phosphate,16mg/ml,Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
44,325443009,4916699,66163020,Prednisolone 5mg gastro-resistant tablets,Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
95,325427002,5749563,59234020,Prednisolone 5mg tablets,Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
955,325444003,580806,74386020,Prednisolone 5mg soluble tablets,Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
1063,25675001000027104,57301,51216020,Prednesol 5mg Tablet (Sovereign Medical Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
2704,325450008,210980,66162020,Prednisolone 25mg tablets,Prednisolone,25mg,Tablet,Oral,01050200/03020000/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
2799,135775001000027104,470,4507007,PREDNISOLONE 10 MG TAB,,,,,00000000,Unknown,Februar 2009
3059,109845001000027104,316,3590007,PREDNISOLONE 50 MG TAB,,,,,00000000,Unknown,Februar 2009
5490,331111000001100,123220,53820020,Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
7710,109785001000027104,2005,3588007,PREDNISOLONE 15 MG TAB,,,,,00000000,Unknown,Februar 2009
9727,325445002,247,71490020,Prednisolone 50mg tablets,Prednisolone,50mg,Tablet,Oral,00000000,Unknown,Februar 2009
19141,392511000001108,4786,61726020,Prednisolone 5mg soluble tablets (Advanz Pharma),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
20095,79935001000027104,441,58192020,Precortisyl forte 25mg Tablet (Aventis Pharma),Prednisolone,25mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
21417,876911000001107,207,50409020,Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
23512,25625001000027108,816,51209020,Precortisyl 5mg Tablet (Hoechst Marion Roussel),Prednisolone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
28859,47615001000027104,4,54005020,Deltastab 5mg Tablet (Waymade Healthcare Plc),Prednisolone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
29333,85511000001101,1472,50400020,Prednisolone 5mg tablets (Actavis UK Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
31327,137775001000027104,14,66166020,Prednisolone steaglate 6.65mg tablet,Prednisolone Steaglate,6.65mg,Tablets,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,Februar 2009
31532,662011000001105,1443,54231020,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
32803,512811000001108,3249,50401020,Prednisolone 5mg gastro-resistant tablets (Accord Healthcare Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
32835,940311000001100,47,51719020,Prednisolone 5mg tablets (Wockhardt UK Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
33691,29795001000027104,193,51723020,Prednisolone 5mg Gastro-resistant tablet (Biorex Laboratories Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
33988,111525001000027104,3,62621020,Prednisolone 5mg Tablet (Co-Pharma Ltd),Prednisolone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
33990,65425001000027104,798,56243020,Prednisolone 5mg Tablet (IVAX Pharmaceuticals UK Ltd),Prednisolone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
34109,174995001000027104,14479,71489020,Prednisolone 5 mg gastro-resistant tablet,Prednisolone,5mg,Enteric Coated Tablets,Oral,06030200,Glucocorticoid Therapy,Februar 2009
34393,18307211000001104,289,54227020,Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
34781,350611000001104,20,65526020,Prednisolone 5mg tablets (Kent Pharmaceuticals Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
38407,244685001000027104,22,92115020,Prednisolone 20mg tablet,Prednisolone,20mg,Tablets,Oral,06030200,Glucocorticoid Therapy,Februar 2009
41515,110811000001100,1061,55527020,Prednisolone 5mg tablets (Teva UK Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),MÃ¤rz 2010
41745,4852811000001108,27,64355020,Prednisolone 25mg tablets (Zentiva),Prednisolone,25mg,Tablet,Oral,01050200/03020000/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),MÃ¤rz 2010
45302,29805001000027104,1,51724020,Prednisolone 5mg Tablet (Biorex Laboratories Ltd),Prednisolone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Mai 2011
47142,299285001000027136,2,78430020,Prednisolone 5mg Soluble tablet (Amdipharm Plc),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Mai 2012
53336,716111000001103,1,6634020,Prednisolone 25mg tablets (A A H Pharmaceuticals Ltd),Prednisolone,25mg,Tablet,Oral,01050200/03020000/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Januar 2013
58000,9807911000001104,265,71574020,Prednisolone 5mg tablets (Almus Pharmaceuticals Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Dezember 2013
58369,14786811000001100,0,6612020,Prednisolone 5mg tablets (Boston Healthcare Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Dezember 2013
58987,17916811000001104,0,6627020,Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),MÃ¤rz 2014
59229,22520311000001108,2,16434021,Dilacort 5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),MÃ¤rz 2014
59912,22453011000001108,20,15685021,Prednisolone 5mg gastro-resistant tablets (Waymade Healthcare Plc),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Mai 2014
60421,18285211000001104,1,6613020,Prednisolone 5mg tablets (Strides Pharma UK Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juli 2014
61162,21851411000001104,0,47497020,Prednisolone 5mg tablets (Waymade Healthcare Plc),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),September 2014
61689,245011000001108,2,6630020,Prednisolone 5mg soluble tablets (A A H Pharmaceuticals Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),November 2014
63214,157711000001100,13,6629020,Prednisolone 5mg soluble tablets (Alliance Healthcare (Distribution) Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Mai 2015
64007,28799311000001104,100,46602021,Pevanti 10mg tablets (Advanz Pharma),Prednisolone,10mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),August 2015
64128,28799011000001104,88,44907021,Pevanti 5mg tablets (Advanz Pharma),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),August 2015
66550,255211000001101,0,6622020,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juni 2016
67107,17999611000001108,18,6628020,Prednisolone 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),August 2016
67507,32781411000001104,1145,69509021,Prednisolone 30mg tablets,Prednisolone,30mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),September 2016
69568,32652511000001108,4,68380021,Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Mai 2017
69686,28799811000001108,5,44908021,Pevanti 25mg tablets (Advanz Pharma),Prednisolone,25mg,Tablet,Oral,01050200/03020000/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juni 2017
69811,32774411000001108,0,69510021,Prednisolone 30mg tablets (Actavis UK Ltd),Prednisolone,30mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juni 2017
70603,28937511000001104,3,48867021,Prednisolone 5mg soluble tablets (Focus Pharmaceuticals Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),November 2017
73678,30114311000001108,0,53567021,Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),November 2018
74493,34035411000001104,2,73875021,Prednisolone 5mg soluble tablets (Actavis UK Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Januar 2019
75763,18945001000027104,12,50405020,Prednisolone 5mg Tablet (Celltech Pharma Europe Ltd),Prednisolone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,April 2019
77760,34172711000001104,0,75132021,Prednisolone 5mg soluble tablets (Phoenix Labs Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),August 2019
78129,33577911000001104,1,70648021,Dilacort 5mg gastro-resistant tablets (Teva UK Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Oktober 2019
78144,17917211000001102,0,6635020,Prednisolone 25mg tablets (Phoenix Healthcare Distribution Ltd),Prednisolone,25mg,Tablet,Oral,01050200/03020000/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Oktober 2019
78789,30114611000001104,1,53568021,Prednisolone 5mg soluble tablets (DE Pharmaceuticals),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),November 2019
557,325442004,1453130,71488020,Prednisolone 2.5mg gastro-resistant tablets,Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
578,325426006,1940195,59233020,Prednisolone 1mg tablets,Prednisolone,1mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
2368,137755001000027104,45728,66161020,Prednisolone 2.5mg tablet,Prednisolone,2.5mg,Tablets,Oral,06030200,Glucocorticoid Therapy,Februar 2009
2390,136045001000027104,1588,4515007,PREDNISOLONE E/C 1 MG TAB,,,,,00000000,Unknown,Februar 2009
5913,459611000001100,44698,53819020,Deltacortril 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
7584,100065001000027104,1278,3255007,PREDNISOLONE 4 MG TAB,,,,,00000000,Unknown,Februar 2009
13522,135755001000027104,214,4506007,PREDNISOLONE 2 MG TAB,,,,,00000000,Unknown,Februar 2009
25272,25615001000027104,1366,51208020,Precortisyl 1mg Tablet (Hoechst Marion Roussel),Prednisolone,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
27962,47605001000027104,109,54004020,Deltastab 1mg Tablet (Waymade Healthcare Plc),Prednisolone,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
28375,858811000001104,879,50410020,Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Februar 2009
28376,29785001000027104,47,51722020,Prednisolone 2.5mg Gastro-resistant tablet (Biorex Laboratories Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
